,0
0,Hawaii
1,Nebraska
2,Illinois
3,Kansas
4,North Carolina
5,Connecticut
6,Kentucky
7,Montana
8,Maine
9,Wisconsin
10,Michigan
11,Nevada
12,Washington
13,Arizona
14,South Carolina
15,Missouri
16,New Hampshire
17,California
18,Oklahoma
19,Pennsylvania
20,North Dakota
21,Vermont
22,Indiana
23,West Virginia
24,Rhode Island
25,Iowa
26,Georgia
27,Delaware
28,Mississippi
29,Oregon
30,Utah
31,Arkansas
32,Minnesota
33,Virginia
34,South Dakota
35,Massachusetts
36,Tennessee
37,Idaho
38,Maryland
39,Louisiana
40,Colorado
41,New Mexico
42,Wyoming
43,New Jersey
